indicator_id,indicator_name,iso3,country_name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,9999
149206,Government expenditure on education (% of GDP),COM,Comoros,,,,,,,,,,,,,,,,,,,,,4.9,4.9,4.3,4.9,4.3,,,4.3
149206,Government expenditure on education (% of GDP),COG,Congo,,,,,,4.9,,,,,,,,,,1.8,,,,6.2,,,,,,,,
149206,Government expenditure on education (% of GDP),COD,Congo (Democratic Republic of the),,,,,,,,,,,,,,,,,,,,1.6,,,2.2,,2.3,,,2.3
149206,Government expenditure on education (% of GDP),CRI,Costa Rica,,,,,,3.4,,,,,4.7,,,,,,,,,6.6,6.5,6.7,6.8,6.9,7.1,7.1,,7.1
149206,Government expenditure on education (% of GDP),CIV,Côte d'Ivoire,,,,,,4.3,,,,,3.7,,,,,4.1,,,,4.6,4.1,4.6,4.7,4.6,4.8,,,4.8
149206,Government expenditure on education (% of GDP),HRV,Croatia,,,,,,,,,,,,,,,,,,,,4.3,4.2,,4.6,,,,,4.6
149206,Government expenditure on education (% of GDP),CUB,Cuba,,,,,,,,,,,7.7,,,,,10.6,,,,12.8,,,,,,,,
149206,Government expenditure on education (% of GDP),CYP,Cyprus,3.3,,,,,3.8,,,,,4.9,,,,,6.2,,,,6.6,6.6,,6.4,6.1,,,,6.1
149206,Government expenditure on education (% of GDP),CZE,Czechia,,,,,,4.5,,,,,3.7,,,,,3.9,,,,4.1,4.3,4.3,4.1,4,,,,4
149206,Government expenditure on education (% of GDP),DNK,Denmark,,,,,,7.5,,,,,8.1,,,,,8.1,,,,8.6,8.5,7.2,8.5,7.6,,,,7.6
149206,Government expenditure on education (% of GDP),DJI,Djibouti,,,,,,,,,,,9.7,,,,,8.4,,,,4.5,,,,,,,,
149206,Government expenditure on education (% of GDP),DMA,Dominica,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,3.4
149206,Government expenditure on education (% of GDP),DOM,Dominican Republic,,,,,,1,,,,,1.9,,,,,,,,,,,,,,,,,
149206,Government expenditure on education (% of GDP),ECU,Ecuador,,,,,,2,,,,,1.2,,,,,,,,,4.5,4.7,4.6,5,5.3,5,,,5
149206,Government expenditure on education (% of GDP),EGY,Egypt,,,,,,4.6,,,,,,,,,,4.8,,,,,,,,,,,,
149206,Government expenditure on education (% of GDP),SLV,El Salvador,,,,,,,,,,,2.5,,,,,2.7,,,,3.5,3.4,3.3,3.4,3.4,3.5,3.5,,3.5
149206,Government expenditure on education (% of GDP),EST,Estonia,,,,,,6.1,,,,,5.3,,,,,4.8,,,,5.5,5,4.7,4.8,5.5,,,,5.5
149206,Government expenditure on education (% of GDP),SWZ,Eswatini (Kingdom of),5.5,,,,,5.7,,,,,5.5,,,,,6.5,,,,6.1,6.9,,,7.1,,,,7.1
149206,Government expenditure on education (% of GDP),ETH,Ethiopia,,,,,,,,,,,4,,,,,,,,,4.5,5.5,5.6,4.5,,,,,4.5
149206,Government expenditure on education (% of GDP),FJI,Fiji,,,,,,,,,,,5.9,,,,,5.1,,,,,4.2,,3.9,,,,,3.9
